date,coin,open_interest_usd,avg_oracle_price
2025-10-13,xyz:XYZ100,,
2025-10-14,xyz:XYZ100,,
2025-10-15,xyz:XYZ100,,
2025-10-16,xyz:XYZ100,,
2025-10-17,xyz:XYZ100,,
2025-10-18,xyz:XYZ100,,
2025-10-19,xyz:XYZ100,,
2025-10-20,xyz:XYZ100,,
2025-10-21,xyz:XYZ100,,
2025-10-22,xyz:XYZ100,,
2025-10-23,xyz:XYZ100,,
2025-10-24,xyz:XYZ100,,
2025-10-25,xyz:XYZ100,,
2025-10-26,xyz:XYZ100,,
2025-10-27,xyz:XYZ100,,
2025-10-28,xyz:XYZ100,,
2025-10-29,xyz:XYZ100,,
2025-10-30,xyz:XYZ100,,
2025-10-31,xyz:XYZ100,,
