date,coin,volume_usd,trade_count,active_traders
2026-04-01,xyz:CL,837428597.605318,216720,8805
2026-04-01,xyz:BRENTOIL,731006740.48177,128460,5749
2026-04-01,xyz:XYZ100,363337672.9159,150125,9176
2026-04-01,xyz:SP500,310199801.5159,86849,4167
2026-04-01,xyz:SILVER,289631979.58037,157232,3090
2026-04-01,xyz:GOLD,106653579.1007,40447,3138
2026-04-01,xyz:SNDK,41726984.57277,14977,1109
2026-04-01,xyz:CRCL,41327835.787608,33193,835
2026-04-01,xyz:MU,33234335.77683,11304,923
2026-04-01,xyz:NVDA,25947819.60432,18719,1239
2026-04-01,xyz:INTC,19732003.18697,7724,468
2026-04-01,xyz:TSLA,17382730.33377,27879,974
2026-04-01,xyz:COIN,16247309.65691,10129,359
2026-04-01,xyz:NATGAS,15604954.65565,15485,697
2026-04-01,xyz:PLATINUM,14462092.72012,27594,260
2026-04-01,xyz:EUR,13992304.18105,16015,5910
2026-04-01,xyz:EWY,13110507.08214,15732,500
2026-04-01,xyz:GOOGL,12594483.54321,13589,761
2026-04-01,xyz:HOOD,11852359.874086,9656,419
2026-04-01,xyz:JPY,11821754.0898,12633,5920
2026-04-01,xyz:PLTR,9260409.83434,6988,261
2026-04-01,xyz:COPPER,6203266.689152,5991,352
2026-04-01,xyz:MSTR,4670887.9815,3868,395
2026-04-01,xyz:META,4143344.15256,4305,422
2026-04-01,xyz:CRWV,3826860.76536,1930,108
2026-04-01,xyz:MSFT,3794379.95437,3133,399
2026-04-01,xyz:AMZN,3280933.74535,3648,374
2026-04-01,xyz:AAPL,2764703.2677,2067,321
2026-04-01,xyz:SKHX,2729522.48224,3369,429
2026-04-01,xyz:AMD,2255707.53052,1119,213
2026-04-01,xyz:TSM,2000294.6425,1062,133
2026-04-01,xyz:USAR,1775711.85141,944,76
2026-04-01,xyz:NFLX,1731259.226585,1008,172
2026-04-01,xyz:EWJ,1481845.222734,1358,128
2026-04-01,xyz:LLY,1462766.139387,973,85
2026-04-01,xyz:ORCL,1385331.45061,1155,191
2026-04-01,xyz:RIVN,1294250.57949,363,89
2026-04-01,xyz:SMSN,1247891.1644,2395,225
2026-04-01,xyz:BABA,1027401.91547,3139,136
2026-04-01,xyz:PALLADIUM,916081.91341,2567,114
2026-04-01,xyz:URNM,197303.20529,897,126
2026-04-01,xyz:HYUNDAI,175864.87699,511,76
2026-04-01,xyz:HIMS,143029.84465,160,46
2026-04-01,xyz:COST,94716.864102,99,14
2026-04-01,xyz:DKNG,51119.10729,37,14
2026-04-02,xyz:CL,1211865377.130744,313597,14052
2026-04-02,xyz:BRENTOIL,830038144.93971,167850,6860
2026-04-02,xyz:SP500,499661002.7171,98572,4633
2026-04-02,xyz:XYZ100,460225713.0864,167890,6854
2026-04-02,xyz:SILVER,394959831.52164,198439,4006
2026-04-02,xyz:GOLD,215713078.11593,68620,3401
2026-04-02,xyz:SNDK,46709054.31627,14737,942
2026-04-02,xyz:CRCL,39084553.1022,30913,1151
2026-04-02,xyz:NVDA,32933955.48316,21052,1502
2026-04-02,xyz:TSLA,28025547.90647,38660,1273
2026-04-02,xyz:MU,26874203.37177,11063,818
2026-04-02,xyz:NATGAS,23290652.36926,22497,780
2026-04-02,xyz:INTC,16758801.98082,8388,554
2026-04-02,xyz:HOOD,15502434.214218,10699,393
2026-04-02,xyz:EWY,14443712.95495,13983,580
2026-04-02,xyz:COIN,14253054.76143,9921,344
2026-04-02,xyz:PLATINUM,13938491.5281,33089,342
2026-04-02,xyz:JPY,13276776.1772,8397,3525
