date,symbol,label,num_markets_totals,num_markets_exch,num_markets_exch_sub,num_markets_category,num_markets_hip3,delta_num_markets_totals,delta_num_markets_exch,delta_num_markets_exch_sub,delta_num_markets_category,delta_num_markets_hip3,rn_totals,rn_exch,rn_exch_sub,rn_category,rn_hip3,cv_totals,cv_exch,cv_exch_sub,cv_category,cv_hip3
2026-06-10,Total,,111.0,,,,,-2.0,,,,,1.0,,,,,#545cf8,,,,
2026-06-10,Pacifica,,,69.0,,,,,0.0,,,,,1.0,,,,,#545cf8,,,
2026-06-10,GMTrade,,,60.0,,,,,-3.0,,,,,2.0,,,,,#f79009,,,
2026-06-10,Phoenix,,,41.0,,,,,0.0,,,,,3.0,,,,,#904ea6,,,
2026-06-10,Flash Trade,,,29.0,,,,,-1.0,,,,,4.0,,,,,#63b512,,,
2026-06-10,Bullet,,,10.0,,,,,0.0,,,,,5.0,,,,,#f0384a,,,
2026-06-10,Jupiter,,,3.0,,,,,0.0,,,,,6.0,,,,,#00bfa5,,,
2026-06-10,_Pacifica,Pacifica,,,69.0,,,,,0.0,,,,,1.0,,,,,#545cf8,,
2026-06-10,_GMTrade,GMTrade,,,60.0,,,,,-3.0,,,,,2.0,,,,,#f79009,,
2026-06-10,_Phoenix,Phoenix,,,41.0,,,,,0.0,,,,,3.0,,,,,#904ea6,,
2026-06-10,_Flash Trade,Flash Trade,,,29.0,,,,,-1.0,,,,,4.0,,,,,#63b512,,
2026-06-10,_Bullet,Bullet,,,10.0,,,,,0.0,,,,,5.0,,,,,#f0384a,,
2026-06-10,_Jupiter,Jupiter,,,3.0,,,,,0.0,,,,,6.0,,,,,#00bfa5,,
2026-06-10,Crypto,,,,,67.0,,,,,-2.0,,,,,1.0,,,,,#545cf8,
2026-06-10,Stock,,,,,16.0,,,,,0.0,,,,,2.0,,,,,#f79009,
2026-06-10,Commodity,,,,,15.0,,,,,0.0,,,,,3.0,,,,,#904ea6,
2026-06-10,FX,,,,,9.0,,,,,0.0,,,,,4.0,,,,,#63b512,
2026-06-10,Index,,,,,4.0,,,,,0.0,,,,,5.0,,,,,#f0384a,
2026-06-10,_Drift,Drift,,,,,,,,,,,,,,,,,,,,
2026-06-10,Drift,,,,,,,,,,,,,,,,,,,,,
2026-06-09,Total,,113.0,,,,,0.0,,,,,1.0,,,,,#545cf8,,,,
2026-06-09,Pacifica,,,69.0,,,,,0.0,,,,,1.0,,,,,#545cf8,,,
2026-06-09,GMTrade,,,63.0,,,,,0.0,,,,,2.0,,,,,#f79009,,,
2026-06-09,Phoenix,,,41.0,,,,,0.0,,,,,3.0,,,,,#904ea6,,,
2026-06-09,Flash Trade,,,30.0,,,,,0.0,,,,,4.0,,,,,#63b512,,,
2026-06-09,Bullet,,,10.0,,,,,0.0,,,,,5.0,,,,,#f0384a,,,
2026-06-09,Jupiter,,,3.0,,,,,0.0,,,,,6.0,,,,,#00bfa5,,,
2026-06-09,_Pacifica,Pacifica,,,69.0,,,,,0.0,,,,,1.0,,,,,#545cf8,,
2026-06-09,_GMTrade,GMTrade,,,63.0,,,,,0.0,,,,,2.0,,,,,#f79009,,
2026-06-09,_Phoenix,Phoenix,,,41.0,,,,,0.0,,,,,3.0,,,,,#904ea6,,
2026-06-09,_Flash Trade,Flash Trade,,,30.0,,,,,0.0,,,,,4.0,,,,,#63b512,,
2026-06-09,_Bullet,Bullet,,,10.0,,,,,0.0,,,,,5.0,,,,,#f0384a,,
2026-06-09,_Jupiter,Jupiter,,,3.0,,,,,0.0,,,,,6.0,,,,,#00bfa5,,
2026-06-09,Crypto,,,,,69.0,,,,,0.0,,,,,1.0,,,,,#545cf8,
2026-06-09,Stock,,,,,16.0,,,,,0.0,,,,,2.0,,,,,#f79009,
2026-06-09,Commodity,,,,,15.0,,,,,0.0,,,,,3.0,,,,,#904ea6,
