date,symbol,fee_usd_totals,fee_usd_exch,rev_usd_totals,rev_usd_exch,delta_fee_usd_totals,delta_fee_usd_exch,delta_rev_usd_totals,delta_rev_usd_exch,rn_totals,rn_exch,cv_totals,cv_exch
2026-06-10,Total,395110.9472599975,,345768.7321609999,,-19196.74876098457,,-9286.095123635605,,1.0,,#545cf8,
2026-06-10,Pacifica,,321427.0600713633,,321427.0600713633,,-4358.09112566727,,-4358.09112566727,,1.0,,#545cf8
2026-06-10,GMTrade,,64819.896157195835,,16204.951058198261,,-12955.561366847047,,-3238.8877294980666,,2.0,,#f79009
2026-06-10,Phoenix,,4279.2017407267995,,4279.2017407267995,,-1807.3699237080018,,-1807.3699237080018,,3.0,,#904ea6
2026-06-10,Flash Trade,,4226.01,,3498.74,,-226.82999999999993,,-32.850000000000364,,4.0,,#63b512
2026-06-10,Bullet,,358.7792907116,,358.7792907116,,151.1036552378,,151.1036552378,,5.0,,#f0384a
2026-06-10,Drift,,,,,,,,,,,,
2026-06-10,Jupiter,,,,,,,,,,,,
2026-06-09,Total,414307.69602098205,,355054.8272846355,,-31383.95049080177,,-20294.064933931513,,1.0,,#545cf8,
2026-06-09,Pacifica,,325785.15119703056,,325785.15119703056,,-18727.22074793384,,-18727.22074793384,,1.0,,#545cf8
2026-06-09,GMTrade,,77775.45752404288,,19443.838787696328,,-14878.784700170028,,-3719.68914329978,,2.0,,#f79009
2026-06-09,Phoenix,,6086.571664434801,,6086.571664434801,,1811.9406923160022,,1811.9406923160022,,3.0,,#904ea6
2026-06-09,Flash Trade,,4452.84,,3531.59,,294.5799999999999,,225.3699999999999,,4.0,,#63b512
2026-06-09,Bullet,,207.6756354738,,207.6756354738,,115.53426498610001,,115.53426498610001,,5.0,,#f0384a
2026-06-09,Drift,,,,,,,,,,,,
2026-06-09,Jupiter,,,,,,,,,,,,
2026-06-08,Total,445691.6465117838,,375348.892218567,,240922.1347456524,,198154.43136149456,,1.0,,#545cf8,
2026-06-08,Pacifica,,344512.3719449644,,344512.3719449644,,193186.46366097702,,193186.46366097702,,1.0,,#545cf8
2026-06-08,GMTrade,,92654.24222421291,,23163.527930996108,,56664.95618924827,,14166.212805090428,,2.0,,#f79009
2026-06-08,Phoenix,,4274.630972118799,,4274.630972118799,,-9271.0046721424,,-9271.0046721424,,3.0,,#904ea6
2026-06-08,Flash Trade,,4158.26,,3306.2200000000003,,369.0400000000004,,100.07999999999993,,4.0,,#63b512
2026-06-08,Bullet,,92.1413704877,,92.1413704877,,-27.320432430500006,,-27.320432430500006,,5.0,,#f0384a
2026-06-08,Jupiter,,,,,,,,,,,,
2026-06-08,Drift,,,,,,,,,,,,
2026-06-07,Total,204769.5117661314,,177194.46085707247,,34765.705598294124,,16604.50311489278,,1.0,,#545cf8,
2026-06-07,Pacifica,,151325.90828398737,,151325.90828398737,,13790.638593667827,,13790.638593667827,,1.0,,#545cf8
2026-06-07,Phoenix,,13545.6356442612,,13545.6356442612,,-3757.841177536002,,-3757.841177536002,,3.0,,#904ea6
2026-06-07,GMTrade,,35989.28603496464,,8997.31512590568,,24058.443931054593,,6014.611447653242,,2.0,,#f79009
2026-06-07,Flash Trade,,3789.22,,3206.1400000000003,,658.7399999999998,,541.3700000000003,,4.0,,#63b512
2026-06-07,Bullet,,119.46180291820001,,119.46180291820001,,15.724251107699999,,15.724251107699999,,5.0,,#f0384a
2026-06-07,Jupiter,,,,,,,,,,,,
2026-06-07,Drift,,,,,,,,,,,,
2026-06-06,Total,170003.8061678373,,160589.9577421797,,-359995.56374386995,,-230670.23484230734,,1.0,,#545cf8,
2026-06-06,Pacifica,,137535.26969031955,,137535.26969031955,,-178772.4454930643,,-178772.4454930643,,1.0,,#545cf8
2026-06-06,Phoenix,,17303.4768217972,,17303.4768217972,,-3674.7334796979994,,-3674.7334796979994,,3.0,,#904ea6
2026-06-06,GMTrade,,11930.84210391005,,2982.703678252438,,-170855.25350564133,,-42713.764604078744,,2.0,,#f79009
2026-06-06,Flash Trade,,3130.48,,2664.77,,-6596.66,,-5412.82,,4.0,,#63b512
2026-06-06,Bullet,,103.73755181050001,,103.73755181050001,,-96.4712654663,,-96.4712654663,,5.0,,#f0384a
2026-06-06,Jupiter,,,,,,,,,,,,
2026-06-06,Drift,,,,,,,,,,,,
2026-06-05,Total,529999.3699117072,,391260.192584487,,-319266.5344706251,,-71435.66281736968,,1.0,,#545cf8,
2026-06-05,Pacifica,,316307.71518338384,,316307.71518338384,,2023.35853755899,,2023.35853755899,,1.0,,#545cf8
2026-06-05,GMTrade,,182786.09560955138,,45696.46828233118,,-55764.855659202556,,-13941.213485491251,,2.0,,#f79009
2026-06-05,Phoenix,,20978.2103014952,,20978.2103014952,,10312.337559466001,,10312.337559466001,,3.0,,#904ea6
2026-06-05,Flash Trade,,9727.14,,8077.59,,-1145.4700000000012,,-1147.58,,4.0,,#63b512
2026-06-05,Bullet,,200.2088172768,,200.2088172768,,-12.7856023887,,-12.7856023887,,5.0,,#f0384a
2026-06-05,Drift,,,,,,,,,,,,
2026-06-05,Jupiter,,,,,,,,,,,,
2026-06-04,Total,849265.9043823323,,462695.8554018567,,-73373.36029488931,,23937.902603611,,1.0,,#545cf8,
2026-06-04,Pacifica,,314284.35664582485,,314284.35664582485,,50201.697695888986,,50201.697695888986,,1.0,,#545cf8
2026-06-04,Jupiter,,274679.11930605886,,68669.77982651471,,-230078.65188960097,,-57519.66297240024,,,,
2026-06-04,GMTrade,,238550.95126875394,,59637.68176782243,,99740.11711818079,,24935.021099480437,,2.0,,#f79009
2026-06-04,Phoenix,,10665.8727420292,,10665.8727420292,,3504.0450019435993,,3504.0450019435993,,3.0,,#904ea6
2026-06-04,Flash Trade,,10872.61,,9225.17,,3176.170000000001,,2733.54,,4.0,,#63b512
2026-06-04,Bullet,,212.9944196655,,212.9944196655,,83.2617786982,,83.2617786982,,5.0,,#f0384a
2026-06-04,Drift,,,,,,,,,,,,
2026-06-03,Total,922639.2646772217,,438757.9527982457,,-309992.4470387518,,-115896.80650065537,,1.0,,#545cf8,
2026-06-03,Pacifica,,264082.65894993587,,264082.65894993587,,-45375.118677111575,,-45375.118677111575,,1.0,,#545cf8
2026-06-03,Jupiter,,504757.7711956598,,126189.44279891496,,-318648.4757416106,,-79662.11893540264,,,,
2026-06-03,GMTrade,,138810.83415057315,,34702.660668341996,,61403.234598299474,,15350.798330188081,,2.0,,#f79009
2026-06-03,Phoenix,,7161.8277400856,,7161.8277400856,,612.5563887036014,,612.5563887036014,,3.0,,#904ea6
2026-06-03,Flash Trade,,7696.44,,6491.63,,-7871.070000000001,,-6709.349999999999,,4.0,,#63b512
2026-06-03,Bullet,,129.7326409673,,129.7326409673,,-113.57360703281003,,-113.57360703281003,,5.0,,#f0384a
2026-06-03,Drift,,,,,,,,,,,,
2026-06-02,Total,1232631.7117159734,,554654.7592989011,,338809.84875407757,,76662.6879147581,,1.0,,#545cf8,
2026-06-02,Pacifica,,309457.77762704744,,309457.77762704744,,-22072.646183751232,,-22072.646183751232,,1.0,,#545cf8
2026-06-02,Jupiter,,823406.2469372704,,205851.5617343176,,530024.0925565925,,132506.02313914814,,,,
2026-06-02,GMTrade,,77407.59955227368,,19351.862338153915,,-182749.07327749598,,-45687.234699371285,,2.0,,#f79009
2026-06-02,Flash Trade,,15567.51,,13200.98,,11629.16,,9938.23,,4.0,,#63b512
2026-06-02,Phoenix,,6549.271351381999,,6549.271351381999,,1891.197979916,,1891.197979916,,3.0,,#904ea6
2026-06-02,Bullet,,243.30624800011003,,243.30624800011003,,87.11767881646003,,87.11767881646003,,5.0,,#f0384a
2026-06-02,Drift,,,,,,,,,,,,
2026-06-01,Total,893821.8629618959,,477992.07138414297,,423933.0324445369,,243770.4785761764,,1.0,,#545cf8,
2026-06-01,Pacifica,,331530.4238107987,,331530.4238107987,,179492.69681986765,,179492.69681986765,,1.0,,#545cf8
2026-06-01,Jupiter,,293382.15438067785,,73345.53859516946,,82566.28700791002,,20641.571751977506,,,,
2026-06-01,GMTrade,,260156.67282976967,,65039.0970375252,,156976.31413844388,,39244.02552601596,,2.0,,#f79009
2026-06-01,Phoenix,,4658.073371465999,,4658.073371465999,,2086.92356339,,2086.92356339,,3.0,,#904ea6
2026-06-01,Flash Trade,,3938.35,,3262.75,,2796.6499999999996,,2291.1,,4.0,,#63b512
2026-06-01,Bullet,,156.18856918365,,156.18856918365,,14.160914925299977,,14.160914925299977,,5.0,,#f0384a
2026-06-01,Drift,,,,,,,,,,,,
2026-05-31,Total,469888.83051735896,,234221.59280796658,,204788.9683737288,,57655.38645512404,,1.0,,#545cf8,
2026-05-31,Pacifica,,152037.72699093103,,152037.72699093103,,8773.189236186183,,8773.189236186183,,1.0,,#545cf8
2026-05-31,Jupiter,,210815.86737276783,,52703.966843191956,,131673.05948530167,,32918.26487132542,,,,
2026-05-31,GMTrade,,103180.35869132579,,25795.071511509243,,64611.25880911116,,16152.80150448263,,2.0,,#f79009
2026-05-31,Phoenix,,2571.1498080759993,,2571.1498080759993,,293.0181959371994,,293.0181959371994,,3.0,,#904ea6
2026-05-31,Flash Trade,,1141.7,,971.6500000000001,,-543.28,,-463.6099999999999,,4.0,,#63b512
2026-05-31,Bullet,,142.02765425835003,,142.02765425835003,,-18.27735280739995,,-18.27735280739995,,5.0,,#f0384a
2026-05-31,Drift,,,,,,,,,,,,
2026-05-30,Total,265099.86214363016,,176566.20635284254,,-378153.56571543706,,-192111.08020527856,,1.0,,#545cf8,
2026-05-30,Pacifica,,143264.53775474484,,143264.53775474484,,-127194.29954689599,,-127194.29954689599,,1.0,,#545cf8
2026-05-30,Jupiter,,79142.80788746614,,19785.701971866536,,-172699.46383250144,,-43174.86595812536,,,,
2026-05-30,GMTrade,,38569.09988221463,,9642.270007026613,,-74979.76357790874,,-18744.915942126252,,2.0,,#f79009
2026-05-30,Phoenix,,2278.1316121388,,2278.1316121388,,-1683.0667430956014,,-1683.0667430956014,,3.0,,#904ea6
2026-05-30,Flash Trade,,1684.98,,1435.26,,-1533.31,,-1250.2700000000002,,4.0,,#63b512
2026-05-30,Bullet,,160.30500706574998,,160.30500706574998,,-63.66201503535004,,-63.66201503535004,,5.0,,#f0384a
2026-05-30,Drift,,,,,,,,,,,,
2026-05-29,Total,643253.4278590672,,368677.2865581211,,-102549.24645935814,,-56942.48243654764,,1.0,,#545cf8,
2026-05-29,Pacifica,,270458.83730164083,,270458.83730164083,,-38772.39913977467,,-38772.39913977467,,1.0,,#545cf8
2026-05-29,Jupiter,,251842.27171996757,,62960.56792999189,,-56379.78123326428,,-14094.94530831607,,,,
2026-05-29,GMTrade,,113548.86346012338,,28387.185949152863,,-3901.7402168539847,,-975.4321189917573,,2.0,,#f79009
2026-05-29,Phoenix,,3961.1983552344013,,3961.1983552344013,,-873.8975176855988,,-873.8975176855988,,3.0,,#904ea6
2026-05-29,Flash Trade,,3218.29,,2685.53,,-2712.1899999999996,,-2316.57,,4.0,,#63b512
2026-05-29,Bullet,,223.9670221011,,223.9670221011,,90.76164822045004,,90.76164822045004,,5.0,,#f0384a
2026-05-29,Drift,,,,,,,,,,,,
2026-05-28,Total,745802.6743184254,,425619.76899466873,,-781.7952762454515,,-11977.23514713574,,1.0,,#545cf8,
2026-05-28,Pacifica,,309231.2364414155,,309231.2364414155,,-13522.539936001995,,-13522.539936001995,,1.0,,#545cf8
2026-05-28,Jupiter,,308222.05295323185,,77055.51323830796,,-19986.470761880337,,-4996.617690470084,,,,
2026-05-28,GMTrade,,117450.60367697736,,29362.61806814462,,35487.79109469552,,8871.938152394938,,2.0,,#f79009
