date,mc_usd
2021-06-25,560.0
2021-06-26,563.0
2021-06-27,563.0
2021-06-28,563.0
2021-06-29,563.0
2021-06-30,561.0
2021-07-01,563.0
2021-07-02,614.0
2021-07-03,613.0
2021-07-04,613.0
2021-07-05,612.0
2021-07-06,762.0
2021-07-07,763.0
2021-07-08,806.0
2021-07-09,859.0
2021-07-10,857.0
2021-07-11,858.0
2021-07-12,857.0
2021-07-13,859.0
2021-07-14,857.0
2021-07-15,857.0
2021-07-16,10897.0
2021-07-17,10843.0
2021-07-18,10856.0
2021-07-19,10911.0
2021-07-20,10866.0
2021-07-21,10890.0
2021-07-22,10939.0
2021-07-23,10884.0
2021-07-24,10864.0
2021-07-25,11383.0
2021-07-26,11422.0
2021-07-27,11297.0
2021-07-28,11402.0
2021-07-29,11371.0
2021-07-30,11333.0
2021-07-31,11428.0
2021-08-01,11351.0
2021-08-02,11344.0
2021-08-03,11361.0
2021-08-04,11352.0
2021-08-05,11362.0
2021-08-06,11346.0
2021-08-07,11366.0
2021-08-08,11373.0
2021-08-09,11369.0
2021-08-10,11362.0
2021-08-11,11368.0
2021-08-12,11360.0
2021-08-13,11373.0
2021-08-14,11477.0
2021-08-15,11464.0
2021-08-16,11449.0
2021-08-17,11461.0
2021-08-18,21399.0
2021-08-19,21628.0
2021-08-20,21782.0
2021-08-21,21696.0
2021-08-22,21660.0
2021-08-23,24179.0
2021-08-24,24191.0
2021-08-25,24679.0
2021-08-26,24997.0
2021-08-27,25026.0
2021-08-28,24996.0
2021-08-29,25060.0
2021-08-30,28408.0
2021-08-31,79142.0
2021-09-01,2534934.0
2021-09-02,4918815.0
2021-09-03,12823515.0
2021-09-04,20118488.0
2021-09-05,23290949.0
2021-09-06,28816087.0
2021-09-07,31514503.0
2021-09-08,32034977.0
2021-09-09,35693186.0
2021-09-10,37404935.0
2021-09-11,40245156.0
2021-09-12,48960172.0
2021-09-13,66356372.0
2021-09-14,74144677.0
2021-09-15,82471158.0
2021-09-16,140822344.0
2021-09-17,208816425.0
2021-09-18,219223380.0
2021-09-19,231954007.0
2021-09-20,246188807.0
2021-09-21,258739170.0
2021-09-22,260940253.0
2021-09-23,295907510.0
2021-09-24,311953356.0
2021-09-25,323174808.0
2021-09-26,330351648.0
2021-09-27,359653385.0
2021-09-28,354207346.0
2021-09-29,359613423.0
2021-09-30,365507662.0
2021-10-01,366344293.0
2021-10-02,369081781.0
2021-10-03,390357016.0
2021-10-04,423142559.0
2021-10-05,426321145.0
2021-10-06,450479294.0
2021-10-07,486425251.0
2021-10-08,494241241.0
2021-10-09,564427644.0
2021-10-10,590148457.0
2021-10-11,614769053.0
2021-10-12,635956012.0
2021-10-13,665216077.0
2021-10-14,695728332.0
2021-10-15,700371752.0
2021-10-16,719219733.0
2021-10-17,733406197.0
2021-10-18,754720420.0
2021-10-19,763098789.0
2021-10-20,774333956.0
2021-10-21,805074087.0
2021-10-22,794545994.0
2021-10-23,785444832.0
2021-10-24,797586716.0
2021-10-25,796273116.0
2021-10-26,801510932.0
2021-10-27,797052496.0
2021-10-28,798919423.0
2021-10-29,808418826.0
2021-10-30,803765948.0
2021-10-31,815394557.0
2021-11-01,863177818.0
2021-11-02,874790462.0
2021-11-03,886580366.0
2021-11-04,892679283.0
2021-11-05,901737812.0
2021-11-06,890826526.0
2021-11-07,893311107.0
2021-11-08,909705631.0
2021-11-09,909552837.0
2021-11-10,904679307.0
2021-11-11,909492447.0
2021-11-12,891898584.0
2021-11-13,895434703.0
2021-11-14,889376494.0
2021-11-15,896906182.0
2021-11-16,879704702.0
2021-11-17,852035334.0
2021-11-18,866241648.0
2021-11-19,843927989.0
2021-11-20,828868352.0
2021-11-21,827162658.0
2021-11-22,821877791.0
2021-11-23,807231028.0
2021-11-24,813862734.0
2021-11-25,808686346.0
2021-11-26,799961957.0
2021-11-27,804978646.0
2021-11-28,766642200.0
2021-11-29,737028768.0
2021-11-30,741326162.0
2021-12-01,743506420.0
2021-12-02,740289818.0
2021-12-03,732628419.0
2021-12-04,731760671.0
2021-12-05,703608962.0
2021-12-06,696646664.0
2021-12-07,699731832.0
2021-12-08,705271888.0
2021-12-09,712848113.0
2021-12-10,719030079.0
2021-12-11,718988399.0
2021-12-12,721493220.0
2021-12-13,707725992.0
2021-12-14,705427028.0
2021-12-15,703449860.0
2021-12-16,698372277.0
2021-12-17,680079572.0
2021-12-18,681479069.0
2021-12-19,683568153.0
2021-12-20,683126709.0
2021-12-21,697469370.0
2021-12-22,704817277.0
2021-12-23,710422261.0
2021-12-24,716020558.0
2021-12-25,718271029.0
2021-12-26,702928067.0
2021-12-27,701797821.0
2021-12-28,712655324.0
2021-12-29,707614659.0
2021-12-30,711165422.0
2021-12-31,711673714.0
2022-01-01,710298445.0
2022-01-02,707344868.0
2022-01-03,708765581.0
2022-01-04,715103702.0
2022-01-05,719181079.0
2022-01-06,716339626.0
2022-01-07,715801747.0
2022-01-08,711880289.0
2022-01-09,708868762.0
2022-01-10,711748649.0
2022-01-11,711291532.0
2022-01-12,714931905.0
2022-01-13,713530813.0
2022-01-14,718555340.0
2022-01-15,726760327.0
2022-01-16,708278125.0
2022-01-17,711091648.0
2022-01-18,717071145.0
2022-01-19,712320764.0
2022-01-20,709388216.0
2022-01-21,703034634.0
2022-01-22,696717850.0
2022-01-23,691440409.0
2022-01-24,685607035.0
2022-01-25,694213177.0
2022-01-26,705808088.0
2022-01-27,702766007.0
2022-01-28,707033751.0
2022-01-29,716235020.0
2022-01-30,713195508.0
2022-01-31,730426611.0
2022-02-01,740178817.0
2022-02-02,740991282.0
2022-02-03,745429609.0
2022-02-04,763773224.0
2022-02-05,777445856.0
2022-02-06,774584164.0
2022-02-07,781718100.0
2022-02-08,790667206.0
2022-02-09,826586027.0
2022-02-10,859326470.0
2022-02-11,866808575.0
2022-02-12,870111362.0
2022-02-13,872462079.0
2022-02-14,878198955.0
2022-02-15,885198530.0
2022-02-16,891563660.0
2022-02-17,892348246.0
2022-02-18,895168449.0
2022-02-19,901090444.0
2022-02-20,907673842.0
2022-02-21,908664140.0
2022-02-22,917909871.0
2022-02-23,913837667.0
2022-02-24,907745318.0
2022-02-25,907310816.0
2022-02-26,908474253.0
2022-02-27,912180455.0
2022-02-28,912056011.0
2022-03-01,913643900.0
2022-03-02,914612317.0
2022-03-03,892894219.0
2022-03-04,847751045.0
2022-03-05,851082347.0
2022-03-06,854726239.0
2022-03-07,855631956.0
2022-03-08,850971082.0
2022-03-09,854266557.0
2022-03-10,862367167.0
2022-03-11,867185266.0
2022-03-12,871011137.0
2022-03-13,873424509.0
2022-03-14,874127574.0
2022-03-15,874496397.0
2022-03-16,872781665.0
2022-03-17,873096999.0
2022-03-18,876114652.0
2022-03-19,879882242.0
2022-03-20,888014892.0
2022-03-21,919025214.0
2022-03-22,939826814.0
2022-03-23,952606431.0
2022-03-24,963790008.0
2022-03-25,1039957482.0
2022-03-26,1048954411.0
2022-03-27,1060368595.0
2022-03-28,1101797477.0
2022-03-29,1113104588.0
2022-03-30,1096406713.0
2022-03-31,1108492164.0
2022-04-01,1127687396.0
2022-04-02,1131904937.0
2022-04-03,1137600812.0
2022-04-04,1144978325.0
2022-04-05,1147051945.0
2022-04-06,1146970912.0
2022-04-07,1151024481.0
2022-04-08,1165610827.0
2022-04-09,1167179239.0
2022-04-10,1166590131.0
2022-04-11,1167295161.0
2022-04-12,1168077805.0
2022-04-13,1173808676.0
2022-04-14,1176509262.0
2022-04-15,1179652853.0
2022-04-16,1180823250.0
2022-04-17,1182546089.0
2022-04-18,1186326182.0
2022-04-19,1188721857.0
2022-04-20,1144234300.0
2022-04-21,1144983378.0
2022-04-22,1146271214.0
2022-04-23,1147219401.0
2022-04-24,1139823785.0
2022-04-25,1135634872.0
2022-04-26,1131733756.0
2022-04-27,1110625577.0
2022-04-28,1109791701.0
2022-04-29,1111304926.0
2022-04-30,1112708732.0
2022-05-01,1113727524.0
2022-05-02,1115498540.0
2022-05-03,1115639936.0
2022-05-04,1110582811.0
2022-05-05,1114713793.0
2022-05-06,1117120210.0
2022-05-07,1115226771.0
2022-05-08,1116691650.0
2022-05-09,1117499371.0
2022-05-10,1117057608.0
2022-05-11,1118572992.0
2022-05-12,1136603844.0
2022-05-13,1133530914.0
2022-05-14,1138368772.0
2022-05-15,1134605489.0
2022-05-16,1135342643.0
2022-05-17,1128060708.0
2022-05-18,1094933515.0
2022-05-19,1099601383.0
2022-05-20,1102245864.0
2022-05-21,1103674108.0
2022-05-22,1086367060.0
2022-05-23,1087587245.0
2022-05-24,1095509924.0
2022-05-25,1096250464.0
2022-05-26,1097967993.0
2022-05-27,1102581966.0
2022-05-28,1102577569.0
2022-05-29,1102873260.0
2022-05-30,1103362515.0
2022-05-31,1102744004.0
2022-06-01,1104606782.0
2022-06-02,1113027975.0
2022-06-03,1118985355.0
2022-06-04,1121303669.0
2022-06-05,1121370289.0
2022-06-06,1121687906.0
2022-06-07,1104541688.0
2022-06-08,1106861925.0
2022-06-09,1108784483.0
2022-06-10,1097914907.0
2022-06-11,1096036775.0
2022-06-12,1098578294.0
2022-06-13,1095713097.0
2022-06-14,1087428434.0
2022-06-15,1087841686.0
2022-06-16,1085949561.0
2022-06-17,1086431499.0
2022-06-18,1071816350.0
2022-06-19,1062626192.0
2022-06-20,1061384280.0
2022-06-21,1063127021.0
2022-06-22,1059814863.0
2022-06-23,1059938812.0
2022-06-24,1059006470.0
2022-06-25,1040314557.0
2022-06-26,1036761336.0
2022-06-27,1034711268.0
2022-06-28,1145197166.0
2022-06-29,1146592407.0
2022-06-30,1147839183.0
2022-07-01,1148427778.0
2022-07-02,1142508547.0
2022-07-03,1142288860.0
2022-07-04,1140927928.0
2022-07-05,1140599920.0
2022-07-06,1121478520.0
2022-07-07,1124497220.0
2022-07-08,1045040558.0
2022-07-09,1047045924.0
2022-07-10,1047289535.0
2022-07-11,1046823603.0
2022-07-12,1047497038.0
2022-07-13,1047130569.0
2022-07-14,1045834703.0
2022-07-15,1042124755.0
2022-07-16,1035300653.0
2022-07-17,1037428466.0
2022-07-18,1027525448.0
2022-07-19,1028843747.0
2022-07-20,1027177157.0
2022-07-21,1033474621.0
2022-07-22,1032284125.0
2022-07-23,1027555423.0
2022-07-24,1028237204.0
2022-07-25,1029087395.0
2022-07-26,1031143095.0
2022-07-27,1102200495.0
2022-07-28,1103958614.0
2022-07-29,1107977164.0
2022-07-30,1113968666.0
2022-07-31,1116930632.0
2022-08-01,1098517541.0
2022-08-02,1104819776.0
2022-08-03,1112720630.0
2022-08-04,1110794540.0
2022-08-05,1109641894.0
2022-08-06,1112118894.0
2022-08-07,1111156212.0
2022-08-08,1122108734.0
2022-08-09,1125066062.0
2022-08-10,1129449172.0
2022-08-11,1133398358.0
2022-08-12,1145920064.0
2022-08-13,1152692458.0
2022-08-14,1156281086.0
2022-08-15,1156591197.0
2022-08-16,1160345316.0
2022-08-17,1155459368.0
2022-08-18,1158456725.0
2022-08-19,1162570246.0
2022-08-20,1165492257.0
2022-08-21,1172805651.0
2022-08-22,1172750608.0
2022-08-23,1173333296.0
2022-08-24,1172597050.0
2022-08-25,1155679082.0
2022-08-26,1159117503.0
2022-08-27,1156526489.0
2022-08-28,1159323922.0
2022-08-29,1161286289.0
2022-08-30,1165732806.0
2022-08-31,1168513089.0
2022-09-01,1159541818.0
2022-09-02,1165459988.0
2022-09-03,1147017648.0
2022-09-04,1146444416.0
2022-09-05,1153173529.0
2022-09-06,1156199360.0
2022-09-07,1169254438.0
2022-09-08,1167503928.0
2022-09-09,1171865903.0
2022-09-10,1179780385.0
2022-09-11,1180756163.0
