date,mc_usd
2021-02-03,4.0
2021-02-04,4.0
2021-02-05,4.0
2021-02-06,4.0
2021-02-07,6.0
2021-02-08,6.0
2021-02-09,102602.0
2021-02-10,2687977.0
2021-02-11,3604052.0
2021-02-12,3602551.0
2021-02-13,3596709.0
2021-02-14,3602693.0
2021-02-15,4040806.0
2021-02-16,4406840.0
2021-02-17,4592230.0
2021-02-18,14682308.0
2021-02-19,14464020.0
2021-02-20,14324420.0
2021-02-21,13992204.0
2021-02-22,12304465.0
2021-02-23,11138778.0
2021-02-24,11077556.0
2021-02-25,11332685.0
2021-02-26,11178237.0
2021-02-27,10674503.0
2021-02-28,10827884.0
2021-03-01,10721047.0
2021-03-02,10930473.0
2021-03-03,11566117.0
2021-03-04,11408168.0
2021-03-05,7203397.0
2021-03-06,7010754.0
2021-03-07,7137686.0
2021-03-08,7120637.0
2021-03-09,7129892.0
2021-03-10,7510455.0
2021-03-11,7317408.0
2021-03-12,7371983.0
2021-03-13,7401019.0
2021-03-14,7555744.0
2021-03-15,7556058.0
2021-03-16,7521123.0
2021-03-17,7514409.0
2021-03-18,7465748.0
2021-03-19,7581002.0
2021-03-20,7961943.0
2021-03-21,7882502.0
2021-03-22,7873875.0
2021-03-23,7551965.0
2021-03-24,7425289.0
2021-03-25,7111532.0
2021-03-26,7097818.0
2021-03-27,7388216.0
2021-03-28,6851452.0
2021-03-29,7737702.0
2021-03-30,7889422.0
2021-03-31,7692502.0
2021-04-01,7571595.0
2021-04-02,7571934.0
2021-04-03,7587236.0
2021-04-04,7663906.0
2021-04-05,7687305.0
2021-04-06,7771325.0
2021-04-07,8069956.0
2021-04-08,8246983.0
2021-04-09,8279441.0
2021-04-10,8265193.0
2021-04-11,8182297.0
2021-04-12,7925759.0
2021-04-13,7498272.0
2021-04-14,7470116.0
2021-04-15,7817906.0
2021-04-16,7815015.0
2021-04-17,7374857.0
2021-04-18,7235055.0
2021-04-19,6965071.0
2021-04-20,6958658.0
2021-04-21,6987122.0
2021-04-22,6630577.0
2021-04-23,6679744.0
2021-04-24,6673387.0
2021-04-25,6661689.0
2021-04-26,6503273.0
2021-04-27,6793035.0
2021-04-28,6779410.0
2021-04-29,6806050.0
2021-04-30,6542035.0
2021-05-01,6879268.0
2021-05-02,7244860.0
2021-05-03,7338019.0
2021-05-04,7827655.0
2021-05-05,7870155.0
2021-05-06,8518898.0
2021-05-07,10748282.0
2021-05-08,12265562.0
2021-05-09,14600179.0
2021-05-10,14199052.0
2021-05-11,14234643.0
2021-05-12,13865139.0
2021-05-13,12709028.0
2021-05-14,11923880.0
2021-05-15,11801396.0
2021-05-16,12843648.0
2021-05-17,12294044.0
2021-05-18,12642246.0
2021-05-19,11885185.0
2021-05-20,11612007.0
2021-05-21,11768051.0
2021-05-22,11141717.0
2021-05-23,10208257.0
2021-05-24,10190464.0
2021-05-25,10194061.0
2021-05-26,10184012.0
2021-05-27,9498111.0
2021-05-28,9599327.0
2021-05-29,9278629.0
2021-05-30,9210299.0
2021-05-31,8740379.0
2021-06-01,8709486.0
2021-06-02,8708290.0
2021-06-03,8597784.0
2021-06-04,8692811.0
2021-06-05,8615444.0
2021-06-06,8615443.0
2021-06-07,8631312.0
2021-06-08,8370632.0
2021-06-09,8265155.0
2021-06-10,8145911.0
2021-06-11,8044506.0
2021-06-12,7937719.0
2021-06-13,7947418.0
2021-06-14,7895946.0
2021-06-15,7903569.0
2021-06-16,7792060.0
2021-06-17,7702431.0
2021-06-18,7713580.0
2021-06-19,7630241.0
2021-06-20,7650064.0
2021-06-21,7595180.0
2021-06-22,7461751.0
2021-06-23,7423853.0
2021-06-24,7401380.0
2021-06-25,7338096.0
2021-06-26,7112324.0
2021-06-27,7173866.0
2021-06-28,7182464.0
2021-06-29,7153182.0
2021-06-30,7132016.0
2021-07-01,7179516.0
2021-07-02,7179238.0
2021-07-03,7180784.0
2021-07-04,7156855.0
2021-07-05,7194125.0
2021-07-06,7371531.0
2021-07-07,7464336.0
2021-07-08,7461117.0
2021-07-09,7469504.0
2021-07-10,7404389.0
2021-07-11,7346658.0
2021-07-12,7338043.0
2021-07-13,7379676.0
2021-07-14,7383449.0
2021-07-15,7377421.0
2021-07-16,7451222.0
2021-07-17,7415217.0
2021-07-18,7444527.0
2021-07-19,7459365.0
2021-07-20,7612983.0
2021-07-21,7873051.0
2021-07-22,7930181.0
2021-07-23,588676.0
2021-07-24,7995055.0
2021-07-25,7999248.0
2021-07-26,7554455.0
2021-07-27,7560989.0
2021-07-28,7603479.0
2021-07-29,7700927.0
2021-07-30,7733674.0
2021-07-31,7722034.0
2021-08-01,7753738.0
2021-08-02,7838412.0
2021-08-03,8091412.0
2021-08-04,8250759.0
2021-08-05,8028540.0
2021-08-06,8053543.0
2021-08-07,7978648.0
2021-08-08,8014014.0
2021-08-09,8098228.0
2021-08-10,8206913.0
2021-08-11,8226269.0
2021-08-12,8223610.0
2021-08-13,8497453.0
2021-08-14,8560194.0
2021-08-15,8720210.0
2021-08-16,9071051.0
2021-08-17,11601046.0
2021-08-18,13960706.0
2021-08-19,29343337.0
2021-08-20,61278123.0
2021-08-21,144715453.0
2021-08-22,160430925.0
2021-08-23,188395782.0
2021-08-24,266236270.0
2021-08-25,340646846.0
2021-08-26,351160784.0
2021-08-27,408637115.0
2021-08-28,457757991.0
2021-08-29,473115158.0
2021-08-30,477468357.0
2021-08-31,505730858.0
2021-09-01,507994854.0
2021-09-02,478168256.0
2021-09-03,487682838.0
2021-09-04,493391218.0
2021-09-05,487443349.0
2021-09-06,474497794.0
2021-09-07,440511467.0
2021-09-08,493168887.0
2021-09-09,485558566.0
2021-09-10,498426120.0
2021-09-11,492052302.0
2021-09-12,530573969.0
2021-09-13,555205924.0
2021-09-14,575454400.0
2021-09-15,609054287.0
2021-09-16,631215073.0
2021-09-17,671454089.0
2021-09-18,719129283.0
2021-09-19,782556211.0
2021-09-20,823994927.0
2021-09-21,773791461.0
2021-09-22,775335763.0
2021-09-23,830974295.0
2021-09-24,970873512.0
2021-09-25,984236299.0
2021-09-26,986110775.0
2021-09-27,991599709.0
2021-09-28,996478599.0
2021-09-29,1009886608.0
2021-09-30,1016598679.0
2021-10-01,1020724502.0
2021-10-02,1026039670.0
2021-10-03,1028808953.0
2021-10-04,1036766184.0
2021-10-05,1009763496.0
2021-10-06,1071616000.0
2021-10-07,1019343843.0
2021-10-08,1039546546.0
2021-10-09,1114288271.0
2021-10-10,1166499481.0
2021-10-11,1223375494.0
2021-10-12,1246710694.0
2021-10-13,1427243002.0
2021-10-14,1499437804.0
2021-10-15,1495670435.0
2021-10-16,1431705656.0
2021-10-17,1416969158.0
2021-10-18,1401039192.0
2021-10-19,1442938124.0
2021-10-20,1435290023.0
2021-10-21,1440503816.0
2021-10-22,1475052766.0
2021-10-23,1503978713.0
2021-10-24,1459837336.0
2021-10-25,1454833325.0
2021-10-26,1541042928.0
2021-10-27,1525275076.0
2021-10-28,1537881942.0
2021-10-29,1528543111.0
2021-10-30,1540379207.0
2021-10-31,1526986950.0
2021-11-01,1505854976.0
2021-11-02,1508555795.0
2021-11-03,1459415316.0
2021-11-04,1501992912.0
2021-11-05,1496674759.0
2021-11-06,1502045533.0
2021-11-07,1534033652.0
2021-11-08,1618620344.0
2021-11-09,1908534248.0
2021-11-10,1898394948.0
2021-11-11,1862564368.0
2021-11-12,1875103045.0
2021-11-13,1917370413.0
2021-11-14,1914547086.0
2021-11-15,1932303325.0
2021-11-16,2039956566.0
2021-11-17,2176551257.0
2021-11-18,2299424152.0
2021-11-19,2311571343.0
2021-11-20,2434655423.0
2021-11-21,2531445047.0
2021-11-22,2615881566.0
2021-11-23,2705416158.0
2021-11-24,2865634698.0
2021-11-25,3078661956.0
