date,mc_usd
2020-08-29,2639394.0
2020-10-20,10032934.0
2020-10-21,10032934.0
2020-10-22,10032934.0
2020-10-23,10032934.0
2020-10-24,10032934.0
2020-10-25,10032934.0
2020-10-26,11036228.0
2020-10-27,11036228.0
2020-10-28,11036228.0
2020-10-29,11036228.0
2020-10-30,11036228.0
2020-10-31,11036228.0
2020-11-01,11036228.0
2020-11-02,11036228.0
2020-11-03,11036228.0
2020-11-04,11036228.0
2020-11-05,11036228.0
2020-11-06,11036228.0
2020-11-07,11036228.0
2020-11-08,11036228.0
2020-11-09,11036228.0
2020-11-10,11036228.0
2020-11-11,141195313.0
2020-11-12,141195313.0
2020-11-13,141195313.0
2020-11-14,141195313.0
2020-11-15,141195313.0
2020-11-16,141195313.0
2020-11-17,141195313.0
2020-11-18,141195313.0
2020-11-19,141195313.0
2020-11-20,141195313.0
2020-11-21,141195313.0
2020-11-22,141195313.0
2020-11-23,141195313.0
2020-11-24,141195313.0
2020-11-25,141195313.0
2020-11-26,141195313.0
2020-11-27,144205193.0
2020-11-28,144205193.0
2020-11-29,144205193.0
2020-11-30,144205193.0
2020-12-01,144205193.0
2020-12-02,144205193.0
2020-12-03,149221660.0
2020-12-04,149221660.0
2020-12-05,149221660.0
2020-12-06,149221660.0
2020-12-07,149221660.0
2020-12-08,149221660.0
2020-12-09,149221660.0
2020-12-10,149221660.0
2020-12-11,149221660.0
2020-12-12,149221660.0
2020-12-13,149221660.0
2020-12-14,149221660.0
2020-12-15,149221660.0
2020-12-16,149221660.0
2020-12-17,149221660.0
2020-12-18,149221660.0
2020-12-19,149221660.0
2020-12-20,149221660.0
2020-12-21,154238128.0
2020-12-22,154238128.0
2020-12-23,154238128.0
2020-12-24,154238128.0
2020-12-25,154238128.0
2020-12-26,154238128.0
2020-12-27,154238128.0
2020-12-28,154238128.0
2020-12-29,154238128.0
2020-12-30,154238128.0
2020-12-31,314430873.0
2021-01-01,314767888.0
2021-01-02,316503900.0
