date,mc_usd
2020-04-01,235353.0
2020-04-02,235353.0
2020-04-03,235353.0
2020-04-04,235353.0
2020-04-05,235353.0
2020-04-06,235353.0
2020-04-07,235353.0
2020-04-08,235353.0
2020-04-09,235353.0
2020-04-10,235353.0
2020-04-11,235353.0
2020-04-12,235353.0
2020-04-13,235353.0
2020-04-14,235353.0
2020-04-15,235353.0
2020-04-16,235353.0
2020-04-17,235353.0
2020-04-18,235353.0
2020-04-19,235353.0
2020-04-20,235353.0
2020-04-21,235353.0
2020-04-22,235353.0
2020-04-23,235353.0
2020-04-24,235353.0
2020-04-25,235353.0
2020-04-26,235353.0
2020-04-27,235353.0
2020-04-28,235353.0
2020-04-29,235353.0
2020-04-30,235353.0
2020-05-01,235353.0
2020-05-02,235353.0
2020-05-03,235353.0
2020-05-04,235353.0
2020-05-05,235353.0
2020-05-06,235353.0
2020-05-07,235353.0
2020-05-08,235353.0
2020-05-09,235353.0
2020-05-10,235353.0
2020-05-11,235353.0
2020-05-12,235353.0
2020-05-13,235353.0
2020-05-14,235353.0
2020-05-15,235353.0
2020-05-16,235353.0
2020-05-17,235353.0
2020-05-18,235353.0
2020-05-19,235353.0
2020-05-20,235353.0
2020-05-21,235353.0
2020-05-22,235353.0
2020-05-23,235353.0
2020-05-24,235353.0
2020-05-25,235353.0
2020-05-26,235353.0
2020-05-27,235353.0
2020-05-28,235353.0
2020-05-29,235353.0
2020-05-30,235353.0
2020-09-28,23083.0
2020-09-29,24086.0
2020-09-30,18963.0
2020-10-01,5790114.0
2020-10-02,7180658.0
2020-10-03,9234626.0
2020-10-04,9519212.0
2020-10-05,9531565.0
2020-10-06,7715411.0
2020-10-07,8066102.0
2020-10-08,9291272.0
2020-10-09,7965599.0
2020-10-10,9310506.0
2020-10-11,10247487.0
2020-10-12,8848395.0
2020-10-13,5341504.0
2020-10-14,5129618.0
2020-10-15,3254899.0
2020-10-16,2633649.0
2020-10-17,2068049.0
2020-10-18,1790805.0
2020-10-19,1724958.0
2020-10-20,869575.0
2020-10-21,868571.0
2020-10-22,936979.0
2020-10-23,1119639.0
2020-10-24,1200328.0
2020-10-25,1096609.0
2020-10-26,1235882.0
2020-10-27,1460219.0
2020-10-28,1724192.0
2020-10-29,1807769.0
2020-10-30,2240697.0
2020-10-31,2680842.0
2020-11-01,2846662.0
2020-11-02,3185209.0
2020-11-03,3700249.0
2020-11-04,4669998.0
2020-11-05,6292918.0
2020-11-06,6825512.0
2020-11-07,6773825.0
2020-11-08,6743434.0
2020-11-09,6827136.0
2020-11-10,4662917.0
2020-11-11,4465856.0
2020-11-12,4508939.0
2020-11-13,4757821.0
2020-11-14,5021653.0
2020-11-15,5186476.0
2020-11-16,5704758.0
2020-11-17,5985805.0
2020-11-18,6180050.0
2020-11-19,6638992.0
2020-11-20,6953557.0
2020-11-21,7379928.0
2020-11-22,7590837.0
2020-11-23,7694836.0
2020-11-24,8071445.0
2020-11-25,8462305.0
2020-11-26,9014757.0
2020-11-27,9154171.0
2020-11-28,9475432.0
2020-11-29,9815653.0
2020-11-30,10048863.0
2020-12-01,10625538.0
2020-12-02,12172636.0
2020-12-03,12631938.0
2020-12-04,12795129.0
2020-12-05,12957677.0
2020-12-06,13292989.0
2020-12-07,13495829.0
2020-12-08,14163294.0
2020-12-09,15133612.0
2020-12-10,15806153.0
2020-12-11,16579653.0
2020-12-12,16699913.0
2020-12-13,16918029.0
2020-12-14,17117424.0
2020-12-15,17124906.0
2020-12-16,18051798.0
2020-12-17,18426388.0
2020-12-18,18591966.0
2020-12-19,19501763.0
2020-12-20,19888861.0
2020-12-21,19898528.0
2020-12-22,20165351.0
2020-12-23,20565564.0
2020-12-24,21024217.0
2020-12-25,21233437.0
2020-12-26,22113699.0
2020-12-27,22230015.0
2020-12-28,22361270.0
2020-12-29,23072163.0
2020-12-30,23397699.0
2020-12-31,23998240.0
2021-01-01,24268366.0
2021-01-02,25509401.0
2021-01-03,25637556.0
2021-01-04,26254594.0
2021-01-05,26734928.0
2021-01-06,28035083.0
2021-01-07,29876313.0
2021-01-08,30108880.0
2021-01-09,30273460.0
2021-01-10,30529254.0
2021-01-11,31155525.0
2021-01-12,31424210.0
2021-01-13,31951328.0
2021-01-14,32368545.0
2021-01-15,32480333.0
2021-01-16,33692629.0
2021-01-17,34613318.0
2021-01-18,35164917.0
2021-01-19,36222143.0
2021-01-20,37131202.0
2021-01-21,25370283.0
2021-01-22,22605518.0
2021-01-23,22249910.0
2021-01-24,22183510.0
2021-01-25,21890036.0
2021-01-26,20602814.0
2021-01-27,20466733.0
2021-01-28,20574397.0
2021-01-29,19445609.0
2021-01-30,19082966.0
2021-01-31,18988725.0
2021-02-01,19011256.0
2021-02-02,18992795.0
2021-02-03,19018337.0
2021-02-04,18948491.0
2021-02-05,18967337.0
2021-02-06,19165035.0
2021-02-07,19102360.0
2021-02-08,18979212.0
2021-02-09,19123148.0
2021-02-10,19234646.0
2021-02-11,19590542.0
2021-02-12,20004468.0
2021-02-13,20712148.0
2021-02-14,20962992.0
2021-02-15,21044760.0
2021-02-16,21008188.0
2021-02-17,21114208.0
2021-02-18,21393031.0
2021-02-19,21759376.0
2021-02-20,23003304.0
2021-02-21,23452327.0
2021-02-22,24060369.0
2021-02-23,25018524.0
2021-02-24,26661521.0
2021-02-25,27752438.0
2021-02-26,29081316.0
2021-02-27,30174987.0
2021-02-28,31287680.0
2021-03-01,32902893.0
2021-03-02,33432297.0
2021-03-03,34754700.0
2021-03-04,37260338.0
2021-03-05,40080153.0
2021-03-06,39967972.0
2021-03-07,39653419.0
2021-03-08,37527377.0
2021-03-09,38533543.0
2021-03-10,39892393.0
2021-03-11,39344645.0
2021-03-12,40550620.0
2021-03-13,42926766.0
2021-03-14,43336553.0
2021-03-15,43819224.0
2021-03-16,43379657.0
2021-03-17,44322868.0
2021-03-18,44413926.0
2021-03-19,44652036.0
2021-03-20,44294315.0
2021-03-21,44209403.0
2021-03-22,43806186.0
2021-03-23,44426571.0
2021-03-24,45662911.0
2021-03-25,45845919.0
2021-03-26,45931355.0
2021-03-27,46269735.0
2021-03-28,48970073.0
2021-03-29,48804245.0
2021-03-30,48176529.0
2021-03-31,47626247.0
2021-04-01,47769339.0
2021-04-02,47271058.0
2021-04-03,46571788.0
2021-04-04,45674705.0
2021-04-05,46108576.0
2021-04-06,44263091.0
2021-04-07,44004598.0
2021-04-08,44155310.0
2021-04-09,44549274.0
2021-04-10,45452004.0
2021-04-11,43547543.0
2021-04-12,42958017.0
2021-04-13,42260095.0
2021-04-14,46056401.0
2021-04-15,80329037.0
2021-04-16,86381913.0
2021-04-17,81649886.0
2021-04-18,80671103.0
2021-04-19,81634042.0
2021-04-20,74069810.0
2021-04-21,82362535.0
2021-04-22,101658141.0
2021-04-23,110345009.0
2021-04-24,138247914.0
2021-04-25,161811143.0
2021-04-26,164749466.0
2021-04-27,180119918.0
2021-04-28,245015999.0
2021-04-29,292484995.0
2021-04-30,364597537.0
2021-05-01,445227061.0
2021-05-02,540936513.0
2021-05-03,534467850.0
2021-05-04,532998271.0
2021-05-05,504056859.0
2021-05-06,474497235.0
2021-05-07,478131355.0
2021-05-08,482972906.0
2021-05-09,477381174.0
2021-05-10,488676767.0
2021-05-11,493623752.0
2021-05-12,522704396.0
2021-05-13,584488347.0
2021-05-14,635071069.0
2021-05-15,708732425.0
2021-05-16,831506673.0
2021-05-17,965673433.0
2021-05-18,1016718865.0
2021-05-19,1120809270.0
2021-05-20,1104913208.0
2021-05-21,1285012157.0
2021-05-22,1278527785.0
2021-05-23,1305606026.0
2021-05-24,1265175409.0
2021-05-25,1304073270.0
2021-05-26,1409281080.0
2021-05-27,1498044684.0
2021-05-28,1645270274.0
2021-05-29,1702493086.0
2021-05-30,1715354502.0
2021-05-31,1768813620.0
2021-06-01,1847815533.0
2021-06-02,1880356704.0
2021-06-03,1868685198.0
2021-06-04,1882119907.0
2021-06-05,1885824477.0
2021-06-06,1862456645.0
2021-06-07,1886164188.0
2021-06-08,1914957109.0
2021-06-09,1959781128.0
2021-06-10,2032911794.0
2021-06-11,2125506268.0
2021-06-12,2240087842.0
2021-06-13,2342388473.0
2021-06-14,2465153010.0
2021-06-15,2753191209.0
2021-06-16,2944497448.0
2021-06-17,3115156448.0
2021-06-18,2916215796.0
2021-06-19,2779816070.0
2021-06-20,2774849134.0
2021-06-21,2717320563.0
2021-06-22,2572414666.0
2021-06-23,2403287787.0
2021-06-24,2334133855.0
2021-06-25,2292263473.0
2021-06-26,2212989895.0
2021-06-27,2198627210.0
2021-06-28,2130282480.0
2021-06-29,2172523825.0
2021-06-30,2143023378.0
2021-07-01,2156841471.0
2021-07-02,2096296818.0
2021-07-03,2025691455.0
2021-07-04,2019002576.0
2021-07-05,1984182041.0
2021-07-06,1958461804.0
2021-07-07,1918059578.0
2021-07-08,1896924120.0
2021-07-09,1870104528.0
2021-07-10,1893604362.0
2021-07-11,1970480801.0
2021-07-12,1931594746.0
2021-07-13,2956188558.0
2021-07-14,3182557990.0
2021-07-15,3058704275.0
2021-07-16,2611968163.0
2021-07-17,2560409150.0
2021-07-18,2640945927.0
2021-07-19,2614580747.0
2021-07-20,2347512277.0
2021-07-21,2256078998.0
2021-07-22,2335080321.0
2021-07-23,2396063446.0
2021-07-24,2499130002.0
2021-07-25,2515032881.0
2021-07-26,2488112969.0
2021-07-27,2460117239.0
2021-07-28,2442721990.0
2021-07-29,2368328685.0
2021-07-30,2387524853.0
2021-07-31,2416407482.0
2021-08-01,2408501698.0
2021-08-02,2408589872.0
2021-08-03,2397128592.0
2021-08-04,2408341989.0
2021-08-05,2317866436.0
2021-08-06,2256942311.0
2021-08-07,2148284939.0
2021-08-08,2113511308.0
2021-08-09,2052745963.0
2021-08-10,2034828893.0
2021-08-11,2015417917.0
2021-08-12,2010679939.0
2021-08-13,2020510066.0
2021-08-14,2017332495.0
2021-08-15,2009864700.0
2021-08-16,2003892773.0
2021-08-17,1990928591.0
2021-08-18,1965938098.0
2021-08-19,1952197073.0
2021-08-20,1936882195.0
2021-08-21,1807115654.0
2021-08-22,1791273849.0
2021-08-23,1805855452.0
2021-08-24,1773402338.0
2021-08-25,1775761770.0
2021-08-26,1742442151.0
2021-08-27,1713532576.0
2021-08-28,1703018116.0
2021-08-29,1699964429.0
2021-08-30,1681424923.0
2021-08-31,1632875975.0
2021-09-01,1630221999.0
2021-09-02,1611525018.0
2021-09-03,1587109804.0
2021-09-04,1585084623.0
2021-09-05,1578060195.0
2021-09-06,1578543749.0
2021-09-07,1544510069.0
2021-09-08,1499698516.0
2021-09-09,1482225546.0
2021-09-10,1495718748.0
2021-09-11,1576242621.0
2021-09-12,1566850070.0
2021-09-13,1555140498.0
2021-09-14,1560330379.0
2021-09-15,1557870317.0
2021-09-16,1530616657.0
2021-09-17,1505564295.0
2021-09-18,1489152463.0
2021-09-19,1484348744.0
2021-09-20,1476269976.0
2021-09-21,1350953386.0
2021-09-22,1321379108.0
2021-09-23,1313509436.0
2021-09-24,1329796372.0
2021-09-25,1354187327.0
2021-09-26,1358065451.0
2021-09-27,1362257968.0
2021-09-28,1351399439.0
2021-09-29,1354631426.0
2021-09-30,1368367550.0
2021-10-01,1406448854.0
2021-10-02,1409946119.0
2021-10-03,1422388916.0
2021-10-04,1410741695.0
2021-10-05,1424290676.0
2021-10-06,1401266058.0
2021-10-07,1403206042.0
2021-10-08,1366285809.0
2021-10-09,1290101860.0
2021-10-10,1282029376.0
2021-10-11,1276925941.0
2021-10-12,1283762759.0
2021-10-13,1295068382.0
2021-10-14,1346383889.0
2021-10-15,1327644337.0
2021-10-16,1316025625.0
2021-10-17,1290778526.0
2021-10-18,1297153290.0
2021-10-19,1334225609.0
2021-10-20,1294023108.0
2021-10-21,1264859751.0
2021-10-22,1244644565.0
2021-10-23,1243271860.0
2021-10-24,1241181647.0
2021-10-25,1251543178.0
2021-10-26,1252762872.0
2021-10-27,1252501124.0
2021-10-28,1257291833.0
2021-10-29,1260903688.0
2021-10-30,1295215400.0
2021-10-31,1325287647.0
2021-11-01,1315438393.0
2021-11-02,1310594893.0
2021-11-03,1316718837.0
2021-11-04,1320702709.0
2021-11-05,1346038255.0
2021-11-06,1347783693.0
2021-11-07,1342626522.0
2021-11-08,1342358982.0
2021-11-09,1319491172.0
2021-11-10,1316133099.0
2021-11-11,1326848987.0
2021-11-12,1307458507.0
2021-11-13,1324122745.0
2021-11-14,1340688472.0
2021-11-15,1332917010.0
2021-11-16,1320300643.0
2021-11-17,1322900605.0
2021-11-18,1329769485.0
2021-11-19,1319253485.0
2021-11-20,1335127686.0
2021-11-21,1345951962.0
2021-11-22,1359930222.0
2021-11-23,1369652436.0
2021-11-24,1380406132.0
2021-11-25,1397799837.0
2021-11-26,1405832560.0
2021-11-27,1410657539.0
2021-11-28,1419324355.0
2021-11-29,1438087014.0
2021-11-30,1447932395.0
