date,chain,volumes,txs,users,new_users,returning_users,cumulative_users
2023-03-13,Polygon,0.100969,1,1,1,0,1
2023-03-14,Arbitrum,0.020845000000000002,3,2,2,0,2
2023-03-14,Ethereum,0.028324000000000002,3,2,2,0,2
2023-03-14,Gnosis,0.03,3,2,2,0,2
2023-03-14,Optimism,0.028377,3,2,2,0,2
2023-03-14,Polygon,0.031644,3,2,2,0,3
2023-03-15,Arbitrum,0.0,0,0,0,0,2
2023-03-15,Ethereum,0.0,0,0,0,0,2
2023-03-15,Gnosis,0.0,0,0,0,0,2
2023-03-15,Optimism,0.0,0,0,0,0,2
2023-03-15,Polygon,0.500153,1,1,0,1,3
2023-03-16,Arbitrum,0.0,0,0,0,0,2
2023-03-16,Ethereum,0.0,0,0,0,0,2
2023-03-16,Gnosis,0.0,0,0,0,0,2
2023-03-16,Optimism,0.0,0,0,0,0,2
2023-03-16,Polygon,0.0,0,0,0,0,3
2023-03-17,Arbitrum,0.0,0,0,0,0,2
2023-03-17,Ethereum,0.0,0,0,0,0,2
2023-03-17,Gnosis,0.0,0,0,0,0,2
2023-03-17,Optimism,0.0,0,0,0,0,2
2023-03-17,Polygon,0.0,0,0,0,0,3
2023-03-18,Arbitrum,0.0,0,0,0,0,2
2023-03-18,Ethereum,0.0,0,0,0,0,2
2023-03-18,Gnosis,0.0,0,0,0,0,2
2023-03-18,Optimism,0.0,0,0,0,0,2
2023-03-18,Polygon,0.0,0,0,0,0,3
2023-03-19,Arbitrum,0.0,0,0,0,0,2
2023-03-19,Ethereum,0.0,0,0,0,0,2
2023-03-19,Gnosis,0.0,0,0,0,0,2
2023-03-19,Optimism,0.0,0,0,0,0,2
2023-03-19,Polygon,0.0,0,0,0,0,3
2023-03-20,Arbitrum,0.0,0,0,0,0,2
2023-03-20,Ethereum,0.0,0,0,0,0,2
2023-03-20,Gnosis,0.0,0,0,0,0,2
2023-03-20,Optimism,0.0,0,0,0,0,2
2023-03-20,Polygon,0.0,0,0,0,0,3
2023-03-21,Arbitrum,0.0,0,0,0,0,2
2023-03-21,Ethereum,0.0,0,0,0,0,2
2023-03-21,Gnosis,0.0,0,0,0,0,2
2023-03-21,Optimism,0.0,0,0,0,0,2
2023-03-21,Polygon,0.0,0,0,0,0,3
2023-03-22,Arbitrum,0.0,0,0,0,0,2
2023-03-22,Ethereum,0.0,0,0,0,0,2
2023-03-22,Gnosis,0.0,0,0,0,0,2
2023-03-22,Optimism,0.0,0,0,0,0,2
2023-03-22,Polygon,0.0,0,0,0,0,3
2023-03-23,Arbitrum,177.23,1,1,1,0,3
2023-03-23,Ethereum,0.0,0,0,0,0,2
2023-03-23,Gnosis,0.0,0,0,0,0,2
2023-03-23,Optimism,0.0,0,0,0,0,2
2023-03-23,Polygon,0.0,0,0,0,0,3
2023-03-24,Arbitrum,0.0,0,0,0,0,3
2023-03-24,Ethereum,0.0,0,0,0,0,2
2023-03-24,Gnosis,0.0,0,0,0,0,2
2023-03-24,Optimism,0.0,0,0,0,0,2
2023-03-24,Polygon,0.0,0,0,0,0,3
2023-03-25,Arbitrum,0.0,0,0,0,0,3
2023-03-25,Ethereum,0.0,0,0,0,0,2
2023-03-25,Gnosis,0.0,0,0,0,0,2
2023-03-25,Optimism,0.0,0,0,0,0,2
2023-03-25,Polygon,0.0,0,0,0,0,3
2023-03-26,Arbitrum,0.0,0,0,0,0,3
2023-03-26,Ethereum,0.0,0,0,0,0,2
2023-03-26,Gnosis,0.0,0,0,0,0,2
2023-03-26,Optimism,0.0,0,0,0,0,2
2023-03-26,Polygon,0.0,0,0,0,0,3
2023-03-27,Arbitrum,0.0,0,0,0,0,3
2023-03-27,Ethereum,0.0,0,0,0,0,2
2023-03-27,Gnosis,0.0,0,0,0,0,2
2023-03-27,Optimism,0.0,0,0,0,0,2
2023-03-27,Polygon,0.0,0,0,0,0,3
2023-03-28,Arbitrum,0.0,0,0,0,0,3
2023-03-28,Ethereum,0.0,0,0,0,0,2
2023-03-28,Gnosis,0.0,0,0,0,0,2
2023-03-28,Optimism,0.0,0,0,0,0,2
2023-03-28,Polygon,0.0,0,0,0,0,3
2023-03-29,Arbitrum,0.0,0,0,0,0,3
2023-03-29,Ethereum,0.0,0,0,0,0,2
2023-03-29,Gnosis,0.0,0,0,0,0,2
2023-03-29,Optimism,0.0,0,0,0,0,2
2023-03-29,Polygon,0.0,0,0,0,0,3
2023-03-30,Arbitrum,10.806897,1,1,0,1,3
2023-03-30,Ethereum,0.0,0,0,0,0,2
2023-03-30,Gnosis,0.0,0,0,0,0,2
2023-03-30,Optimism,0.0,0,0,0,0,2
2023-03-30,Polygon,15.042959000000002,6,1,0,1,3
2023-03-31,Arbitrum,29.74486,1,1,0,1,3
2023-03-31,Ethereum,0.0,0,0,0,0,2
2023-03-31,Gnosis,0.0,0,0,0,0,2
2023-03-31,Optimism,0.0,0,0,0,0,2
2023-03-31,Polygon,0.752659,1,1,0,1,3
2023-04-01,Arbitrum,262.4825,1,1,0,1,3
2023-04-01,Ethereum,419.878572,1,1,0,1,2
2023-04-01,Gnosis,0.0,0,0,0,0,2
2023-04-01,Optimism,0.0,0,0,0,0,2
2023-04-01,Polygon,0.0,0,0,0,0,3
2023-04-02,Arbitrum,131.868126,1,1,0,1,3
2023-04-02,Ethereum,188.372692,3,1,0,1,2
2023-04-02,Gnosis,0.0,0,0,0,0,2
2023-04-02,Optimism,9.914891,1,1,0,1,2
2023-04-02,Polygon,0.009905,1,1,0,1,3
2023-04-03,Arbitrum,1075.655715,3,1,0,1,3
2023-04-03,Ethereum,1786.917844,4,1,0,1,2
2023-04-03,Gnosis,0.0,0,0,0,0,2
2023-04-03,Optimism,0.0,0,0,0,0,2
2023-04-03,Polygon,9.420015,5,1,0,1,3
2023-04-04,Arbitrum,91.47962199999999,2,1,0,1,3
2023-04-04,Ethereum,756.7310160000001,4,1,0,1,2
2023-04-04,Gnosis,0.0,0,0,0,0,2
2023-04-04,Optimism,31.582619,2,1,0,1,2
2023-04-04,Polygon,1.043268,1,1,0,1,3
2023-04-05,Arbitrum,0.0,0,0,0,0,3
2023-04-05,Ethereum,0.0,0,0,0,0,2
2023-04-05,Gnosis,0.0,0,0,0,0,2
2023-04-05,Optimism,69.644104,1,1,0,1,2
2023-04-05,Polygon,0.747613,1,1,0,1,3
2023-04-06,Arbitrum,2526.806861,20,1,0,1,3
2023-04-06,Ethereum,4626.7832,5,1,0,1,2
2023-04-06,Gnosis,2.171099,1,1,0,1,2
2023-04-06,Optimism,94.53162400000001,2,1,0,1,2
2023-04-06,Polygon,234.91446799999997,8,1,0,1,3
