date,currency,volumes,txs
2023-03-13,USDC,0.100969,1
2023-03-14,USDC,0.13919,15
2023-03-15,USDC,0.500153,1
2023-03-23,USDC,177.23,1
2023-03-30,USDC,25.849856,7
2023-03-31,USDC,30.497519,2
2023-04-01,USDC,682.361072,2
2023-04-02,USDC,330.165614,6
2023-04-03,USDC,2871.993574,12
2023-04-04,USDC,880.836525,9
2023-04-05,USDC,70.391717,2
2023-04-06,USDC,7485.207252,36
2023-04-07,USDC,9672.338363999997,45
2023-04-08,USDC,21935.930321,24
2023-04-09,USDC,3980.026054,11
2023-04-10,USDC,1861.384094,14
2023-04-11,USDC,7290.335535,19
2023-04-12,USDC,13524.901535000003,26
2023-04-13,USDC,8719.974055999997,20
2023-04-14,USDC,16541.999599000002,24
2023-04-15,USDC,4623.0889050000005,16
2023-04-16,USDC,3910.3068230000003,17
2023-04-17,USDC,156891.170624,25
2023-04-18,USDC,7405.6161839999995,17
2023-04-19,USDC,5759.433855,23
2023-04-20,USDC,25842.765133999997,26
2023-04-21,USDC,5029.055089999999,23
2023-04-22,USDC,9043.642009,15
2023-04-23,USDC,200.87902000000003,9
2023-04-24,USDC,8672.188384000001,19
2023-04-25,USDC,6345.627506999999,15
2023-04-26,USDC,3370.737924,17
2023-04-27,USDC,127588.73207899998,23
2023-04-28,USDC,9186.898099,24
2023-04-29,USDC,10958.349107,21
2023-04-30,USDC,8311.744051,16
2023-05-01,USDC,7523.543739999999,19
2023-05-02,USDC,16670.045342,27
2023-05-03,USDC,21744.155563,20
2023-05-04,USDC,111447.878789,26
2023-05-05,USDC,11010.764995,17
2023-05-06,USDC,14040.149734,9
2023-05-07,USDC,6138.161029999998,15
2023-05-08,USDC,12512.392212,15
2023-05-09,USDC,9222.031815999999,22
2023-05-10,USDC,18771.468972,16
2023-05-11,USDC,92495.714313,22
2023-05-12,USDC,12524.822918000002,23
2023-05-13,USDC,6282.929229000001,11
2023-05-14,USDC,4876.144735000001,7
2023-05-15,USDC,53902.052827999985,25
2023-05-16,USDC,106077.055173,12
2023-05-17,USDC,11699.037599,13
2023-05-18,USDC,13113.021202999998,18
2023-05-19,USDC,19427.089657999997,18
2023-05-20,USDC,6378.599476,13
2023-05-21,USDC,6698.699521999999,13
2023-05-22,USDC,21216.570365,15
2023-05-23,USDC,2804.8790489999997,7
2023-05-24,USDC,11526.439642000001,16
2023-05-25,USDC,102923.744666,18
2023-05-26,USDC,17439.248138999996,19
2023-05-27,USDC,11233.449894999998,15
2023-05-28,USDC,2803.928979,6
2023-05-29,USDC,6875.164751,12
2023-05-30,USDC,7127.532128999999,22
2023-05-31,USDC,40325.902364999994,24
2023-06-01,USDC,18046.933536999997,18
2023-06-02,USDC,94858.458021,20
2023-06-03,USDC,12143.285681999996,22
2023-06-04,USDC,7783.109244,17
2023-06-05,USDC,25951.543252000003,12
2023-06-06,USDC,12321.455754,22
2023-06-07,USDC,17851.757478999996,25
2023-06-08,USDC,105619.811558,20
2023-06-09,USDC,9537.495098,17
2023-06-10,USDC,7747.533748000001,14
2023-06-11,USDC,6122.634443000001,15
2023-06-12,USDC,17087.513894,16
2023-06-13,USDC,30367.974673999997,18
2023-06-14,USDC,9356.217854999999,18
2023-06-15,USDC,98220.750384,27
2023-06-16,USDC,4085.328119,13
2023-06-17,USDC,6303.783681000001,14
2023-06-18,USDC,6514.123584,13
2023-06-19,USDC,11823.547311,17
2023-06-20,USDC,11250.337985,18
2023-06-21,USDC,10746.814393,17
2023-06-22,Other,0.0,2
2023-06-22,USDC,70675.891568,28
2023-06-23,USDC,74384.25945999997,45
2023-06-24,USDC,18425.227966,18
2023-06-24,USDT,55760.946029,1
2023-06-25,USDC,8210.028724,16
2023-06-26,USDC,73692.431882,24
2023-06-26,USDT,44370.305547,1
2023-06-27,USDC,9076.29419,17
2023-06-28,USDC,3403.654832,14
2023-06-29,USDC,27780.374533000002,24
2023-06-30,USDC,79841.93022800001,22
2023-06-30,USDT,103839.021645,1
2023-07-01,USDC,14657.549599,17
2023-07-02,USDC,11418.650142999999,24
2023-07-03,USDC,18618.674535000002,26
2023-07-04,USDC,21527.612433,30
2023-07-05,USDC,10700.448230999998,21
2023-07-06,USDC,26730.552013999997,41
2023-07-07,USDC,53333.49476699999,30
2023-07-07,USDT,101848.208983,1
2023-07-08,USDC,10244.956037,20
2023-07-09,USDC,10171.029073000002,12
2023-07-10,USDC,41671.493642,33
2023-07-11,USDC,74357.10917300002,20
2023-07-11,USDT,102737.228175,1
2023-07-12,USDC,25915.689726999994,25
2023-07-13,USDC,45387.806220000006,36
2023-07-14,Other,0.0,1
2023-07-14,USDC,80089.879041,28
2023-07-15,USDC,29473.629915,25
2023-07-16,USDC,23700.567356,25
2023-07-17,USDC,67930.524547,21
2023-07-17,USDT,166568.972672,2
2023-07-18,USDC,15205.457167,55
2023-07-19,USDC,36623.273718000004,50
2023-07-20,USDC,22911.625513999992,27
2023-07-21,USDC,18225.698458000003,29
2023-07-22,USDC,16530.607253000002,27
2023-07-23,USDC,39269.542012000005,21
2023-07-24,USDC,136117.403081,37
2023-07-25,USDC,22325.102805999995,44
2023-07-25,USDT,146638.477561,2
2023-07-26,USDC,24721.21682200001,50
2023-07-27,Other,0.0,1
2023-07-27,USDC,47068.960424,46
2023-07-28,USDC,151474.312791,80
2023-07-28,USDT,103026.684647,1
2023-07-29,USDC,19488.102113,27
2023-07-30,USDC,8285.620308999998,18
2023-07-31,USDC,50979.09834799999,55
2023-08-01,USDC,20963.279420000003,23
2023-08-02,Other,0.0,2
2023-08-02,USDC,128229.77917000002,31
2023-08-03,Other,0.0,2
2023-08-03,USDC,31318.198798000005,38
2023-08-04,Other,0.0,2
2023-08-04,USDC,46769.926230000005,31
2023-08-05,USDC,8775.034701,20
2023-08-06,USDC,10113.809964,18
2023-08-07,Other,0.0,2
2023-08-07,USDC,70113.9804,32
2023-08-08,USDC,21130.833454,22
2023-08-09,Other,0.0,2
2023-08-09,USDC,73410.28131600001,49
2023-08-10,USDC,28798.091886000002,34
2023-08-11,USDC,52719.620147,30
2023-08-12,USDC,11498.662206999998,20
2023-08-13,Other,0.0,3
2023-08-13,USDC,178935.43760799998,27
2023-08-14,Other,0.0,1
2023-08-14,USDC,46671.567115,33
2023-08-15,Other,0.0,1
2023-08-15,USDC,79347.204894,51
2023-08-15,USDT,209992.82244299998,5
2023-08-16,Other,0.0,1
2023-08-16,USDC,20993.216814000003,29
2023-08-17,Other,0.0,2
2023-08-17,USDC,13922.217173000001,28
2023-08-18,Other,30427.768164181718,2
2023-08-18,USDC,26114.945788999998,35
2023-08-19,USDC,13747.049126,18
2023-08-20,USDC,15108.989210000002,22
2023-08-21,Other,12979.896634836148,4
2023-08-21,USDC,105091.85983899998,34
2023-08-22,Other,0.014075103278156231,4
2023-08-22,USDC,14551.913495,28
2023-08-23,USDC,11143.360058999999,15
2023-08-24,USDC,26047.513323,32
2023-08-25,USDC,81482.971588,29
2023-08-26,Other,0.0,1
2023-08-26,USDC,22191.325253,25
2023-08-27,USDC,13938.158822,22
2023-08-28,Other,0.0,2
2023-08-28,USDC,22961.584746000008,26
2023-08-29,Other,0.0,1
2023-08-29,USDC,18604.648886000003,26
2023-08-30,USDC,67409.48540200002,54
2023-08-31,Other,0.0,1
2023-08-31,USDC,13412.536751000003,24
2023-09-01,USDC,18784.843166,19
2023-09-02,USDC,17264.343528999998,33
2023-09-03,Other,0.0,5
2023-09-03,USDC,82574.011461,33
2023-09-04,USDC,20912.450241,36
2023-09-05,Other,0.0,4
2023-09-05,USDC,289755.8465430001,42
2023-09-06,Other,0.0,2
2023-09-06,USDC,40154.202014,24
2023-09-07,USDC,47905.584535000016,34
2023-09-08,Other,21.579027574314253,11
2023-09-08,USDC,14940.765325,21
2023-09-09,USDC,10572.737514999997,28
2023-09-10,USDC,29203.631313,20
2023-09-11,Other,0.0,4
2023-09-11,USDC,75108.584721,28
2023-09-12,Other,87.939886,1
2023-09-12,USDC,20310.012361999998,30
2023-09-13,Other,176.550857,2
2023-09-13,USDC,19231.41297,21
2023-09-14,Other,53.758743,1
2023-09-14,USDC,74782.098022,33
2023-09-15,Other,825.0318059583333,6
2023-09-15,USDC,13353.111490999998,18
2023-09-16,USDC,15346.247255999999,21
2023-09-17,USDC,11669.463141999999,22
2023-09-18,USDC,36539.836828,36
2023-09-19,Other,142.11771,3
2023-09-19,USDC,88296.68751000002,38
2023-09-20,Other,213.563996,1
2023-09-20,USDC,14926.766163999997,30
2023-09-21,Other,5.324587,3
2023-09-21,USDC,72795.055949,28
2023-09-22,USDC,23480.559236,27
2023-09-23,USDC,6592.44319,17
2023-09-24,USDC,7420.081857000001,14
2023-09-25,Other,0.0,1
2023-09-25,USDC,58926.727599,22
2023-09-26,Other,0.0,2
2023-09-26,USDC,7968.275246999999,23
2023-09-27,USDC,20539.383751,26
2023-09-28,Other,77.94731,4
2023-09-28,USDC,106770.703851,44
2023-09-29,USDC,32624.92842100001,26
2023-09-30,Other,2085.799234,5
2023-09-30,USDC,68943.18741500001,22
2023-10-01,Other,300.621726,1
2023-10-01,USDC,37594.599833,26
2023-10-02,Other,0.115143,3
2023-10-02,USDC,116441.22162600001,58
2023-10-03,Other,329.316086,4
2023-10-03,USDC,22517.896868999993,29
2023-10-04,Other,0.0,2
2023-10-04,USDC,81733.20070999995,43
2023-10-05,Other,0.031474,4
2023-10-05,USDC,53050.509530999996,66
2023-10-06,Other,0.07357799999999999,7
2023-10-06,USDC,24834.267542999994,69
2023-10-07,USDC,27013.733647,29
2023-10-08,Other,0.0,1
2023-10-08,USDC,8033.222641999998,25
2023-10-09,Other,0.0,1
2023-10-09,USDC,54789.93435700001,28
2023-10-10,USDC,5809.362934999999,23
2023-10-11,USDC,9107.520736999999,18
2023-10-12,Other,0.0,1
2023-10-12,USDC,12434.038460000002,27
2023-10-13,Other,0.0,1
2023-10-13,USDC,60449.32886,37
2023-10-14,USDC,14901.206588000003,21
2023-10-15,USDC,8278.620517999998,22
2023-10-16,Other,68.614096,3
2023-10-16,USDC,44476.449754,30
2023-10-17,Other,422.979356,2
2023-10-17,USDC,35696.358333,31
2023-10-18,Other,52.902121,4
2023-10-18,USDC,29438.828272000006,28
2023-10-19,Other,52.958997000000004,2
2023-10-19,USDC,35057.738931,24
2023-10-20,Other,0.0,1
2023-10-20,USDC,28660.295878999987,28
2023-10-21,Other,0.0107,2
2023-10-21,USDC,18855.670318000004,42
2023-10-22,USDC,25807.233444999994,26
2023-10-23,Other,0.01985,4
2023-10-23,USDC,57016.15815399999,47
2023-10-24,Other,536.375715,3
2023-10-24,USDC,51389.756434,43
2023-10-25,Other,0.01061,1
2023-10-25,USDC,34256.009471,54
2023-10-26,Other,0.0,2
2023-10-26,USDC,56578.30312899999,44
2023-10-27,Other,168.68628232,3
2023-10-27,USDC,29337.125653999992,62
2023-10-28,Other,408.378941,1
