unix_time,date_time,Raydium,Orca,Aldrin,Step,Saber,Mercurial,Lifinity,Crema,Cropper,Saros,Others,Penguin,Onemoon,Cykura,Serum,Serum Swap,Swim,Dooar,Marinade,Symmetry,Goosefx,Invariant,Dradex Swap,Raydium Clamm,Openbook,Openbook Swap,Meteora,Jupiter Limit Order,Oasis,Phoenix,Fluxbeam,Lido,Jito,Solblaze,Jpool,Jupiter Dca,Meteora Dlmm,Sanctum,Openbook V2,Stake Pool,Raydium Cp,1intro,Jupiter Perp,Pump.fun,Stabble,Jupiterz,Solfi,Dexlab,Zerofi,Pump AMM,Jupiter Limit Order V2,Meteora Dynamic Bonding Curve,Raydium Launchlab,Heaven,Tesserav,Humidifi,Defituna,Solfi V2,Goonfi,Obric V2,Aquifer,Alphaq,Pancakeswap V3,Manifest,Goonfi V2,Bisonfi,Jupiter Lend Earn,Scorch
1640995200,01-01-2022,49965300.11324429,26011257.91006367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641081600,02-01-2022,65565126.57726884,23937796.90882905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641168000,03-01-2022,72900692.35568628,34120973.54544689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641254400,04-01-2022,97191509.00858492,67156092.48798275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641340800,05-01-2022,116977729.38137761,73891625.86621006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641427200,06-01-2022,113340941.77268013,72040227.43417108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641513600,07-01-2022,126217416.1616315,95474445.43498321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641600000,08-01-2022,109363145.73821077,56263662.450800546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641686400,09-01-2022,74076142.16059713,33211765.37759071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641772800,10-01-2022,89710699.89596015,46976213.088660516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
