date,total_net_inflow,total_value_traded,total_net_assets,cum_net_inflow
2025-10-28,69453766.36,57910600.0,288917340.36,69453766.36
2025-10-29,47943651.12,79502841.0,432292414.39799994,117397417.48
2025-10-30,37328160.15,52711368.0,439969689.916,154725577.63
2025-10-31,44483515.43999995,64814517.0,502040365.91,199209093.06999996
2025-11-03,70052109.02000006,67592918.0,513354082.87200004,269261202.09
2025-11-04,14831172.48,68530150.0,488801393.7,284092374.57
2025-11-05,9703053.45,50806442.0,531354147.924,293795428.02
2025-11-06,29219671.910000004,27945446.0,538379919.834,323015099.93
2025-11-07,12693193.6,46040510.0,575930904.128,335708293.53000003
2025-11-10,6775125.080000011,39634362.0,598360389.246,342483418.61
2025-11-11,7981907.599999988,23524796.0,568353218.268,350465326.21
2025-11-12,18057562.96,35415528.0,574415065.886,368522889.17
2025-11-13,1488605.36,52616926.0,533432970.18,370011494.53
2025-11-14,12038681.200000001,42402980.0,541312769.46,382050175.73
2025-11-17,8260998.7700000005,34654208.0,513475894.37000006,390311174.5
2025-11-18,30091565.424999997,73143355.5,593734899.0649999,420402739.925
2025-11-19,55605392.08,53178401.1,714796006.171,476008132.005
2025-11-20,23663066.93,64485106.43,744635219.342,499671198.935
2025-11-21,10578972.259999998,69865391.7,719453461.879,510250171.195
2025-11-24,57986618.37,62247341.62,843813696.38,568236789.565
2025-11-25,53080024.97,37506411.97,888247734.63,621316814.535
2025-11-26,-8096108.929999992,50614717.83,917990226.41,613220705.605
2025-11-28,5365409.299999996,30007698.93,888253249.354,618586114.905
2025-12-01,-13548712.6,54348603.81,790913259.627,605037402.305
2025-12-02,45773188.585,56714429.4,929704023.122,650810590.89
2025-12-03,-32193714.35,32716434.4,915077484.834,618616876.54
2025-12-04,4589724.65,42389092.31,910069945.474,623206601.19
2025-12-05,15676724.9,27280300.45,877620978.72,638883326.09
2025-12-08,1179297.75,22219724.7,890108266.132,640062623.84
2025-12-09,16542611.679999998,49505875.7,950400539.369,656605235.52
2025-12-10,4853011.250000002,26455033.96,949179997.874,661458246.77
2025-12-11,11024340.649999982,32423793.69,928727483.194,672482587.42
2025-12-12,3598924.8499999996,25343137.18,908246671.349,676081512.27
2025-12-15,35198802.19,51086383.32,898556012.5170001,711280314.46
2025-12-16,3641861.800000018,39526430.0,926326694.4890001,714922176.26
2025-12-17,10985336.31,67215738.48,900409620.954,725907512.57
2025-12-18,13156235.635,77738073.89,876338768.92,739063748.205
2025-12-19,3568661.0,35181262.13,946780078.404,742632409.205
2025-12-22,7466161.8,32654112.33,938434207.566,750098571.005
2025-12-23,4195005.25,28566170.87,940961406.83,754293576.255
2025-12-24,1480338.525,15773606.952,930592100.0740001,755773914.78
2025-12-26,0.0,27918907.89,926375960.99,755773914.78
2025-12-29,2928184.65,18080160.16,936300847.726,758702099.43
2025-12-30,5208531.92,33158303.6,950667821.238,763910631.35
2025-12-31,2289317.66,34399916.2,950818781.942,766199949.01
2026-01-02,9647571.825,34963075.36,1018606704.74,775847520.835
2026-01-05,16242766.651,43283891.33,1090880087.234,792090287.4860001
2026-01-06,9219150.35,57227505.05,1100415397.948,801309437.836
2026-01-07,1969893.53,22214639.74,1077937959.339,803279331.366
2026-01-08,13643436.33,16936943.36,1104106059.032,816922767.696
2026-01-09,0.0,21912807.86,1091194320.096,816922767.696
2026-01-12,10674249.28,36403780.96,1143696398.222,827597016.976
2026-01-13,5911314.149999999,41819909.04,1175325335.282,833508331.126
2026-01-14,23566249.96,53768495.85,1228769543.24,857074581.086
2026-01-15,8942846.675,42558515.78,1188733216.717,866017427.761
2026-01-16,-2218798.25,34578405.3,1211132672.868,863798629.511
2026-01-20,3080610.24,46408376.65,1073881908.672,866879239.751
2026-01-21,2915373.3249999997,45677921.17,1103400220.647,869794613.076
2026-01-22,1707439.9,26454148.88,1088998391.416,871502052.976
2026-01-23,1870201.75,31451538.75,1078040340.902,873372254.726
2026-01-26,2463466.35,35849634.68,1051813278.648,875835721.076
2026-01-27,1865702.4,34069661.16,1079340780.87,877701423.476
2026-01-28,6687280.225,35071436.05,1077605552.461,884388703.701
